Date,Initial Search PSMs,Initial Search Peptides,Post-calibration PSMs,Post-calibration Peptides,Post-GPTMD PSMs,Post-GPTMD Peptides,Initial Search Time,Calibration Time,Post-calibration Search Time,GPTMD Time,Post-GPTMD Search Time,Interlink CSMs,Intralink CSMs,Loop CSMs,Deadend CSMs,Crosslink Single PSMs,Crosslink Single Peptides,XL Search Time,Glyco Search PSMs,Glyco Search Peptides,Glyco Search Time,Semispecific PSMs,Semispecific Peptides,Semispecific Search Time,Nonspecific PSMs,Nonspecific Peptides,Nonspecific Search Time,Modern Search PSMs,Modern Search Peptides,Modern Search Time,TopDown Initial PrSMs,TopDown Initial Proteoforms,TopDown Post-calibration PrSMs,TopDown Post-calibration Proteoforms,TopDown Post-averaging PrSMs,TopDown Post-averaging Proteoforms,TopDown Post-GPTMD PrSMs,TopDown Post-GPTMD Proteoforms,TopDown Initial Search Time,TopDown Calibration Time,TopDown Post-calibration Search Time,TopDown Averaging Time,TopDown Post-averaging Search Time,TopDown GPTMD Time,TopDown Post-GPTMD Search Time,InitialSearchProteinGroups
10/15/2018 10:15:23,30019,11590,30408,11838,34207,12934,350.5881339,511.74908359999995,367.7320454,1016.3809503,435.8069035,29,201,114,394,8375,0,58.6270798,0,0,0,30158,11681,3304.8564343999997,1298,1001,2784.7554858999997,30019,11590,691.3913885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3590
10/21/2018 01:10:54,31098,11817,31139,11993,35043,13209,394.39098909999996,548.51922519999994,298.0076143,1026.6866035,362.1858413,32,222,114,395,8432,0,47.5794642,0,0,0,34059,13307,2846.3523249,4507,3484,2465.9209618,31098,11817,602.3840045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3634
10/28/2018 01:14:42,31264,11863,31305,12062,35219,13272,396.2831836,568.127028,296.976355,1015.6953156,360.7742756,32,222,114,415,8432,0,48.5263795,0,0,0,34856,13770,3068.6492226,5141,4043,2508.684765,31264,11863,610.3062506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
11/04/2018 01:11:02,31264,11863,31305,12062,35219,13272,382.5083484,551.2593058,298.9655835,1025.1598384,362.6281155,32,222,114,415,8432,0,47.488270299999996,0,0,0,35790,13941,3366.3012535999997,5378,4228,2598.3887511999997,31264,11863,603.745938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
11/11/2018 01:12:00,31268,11864,31307,12062,35212,13288,387.23469739999996,562.0809895,309.76579649999996,1021.8730552999999,390.2754238,32,222,114,415,8432,0,51.5465258,0,0,0,35790,13941,2681.4269862,5378,4228,2837.4651199,31264,11863,640.1675322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
11/18/2018 01:09:12,31268,11864,31307,12062,35212,13288,369.98745679999996,534.9777594,287.2612077,968.0724269,360.0165116,32,222,114,415,8432,0,46.4970864,0,0,0,35790,13941,2639.385743,5378,4228,2883.4521157,31264,11863,587.6614869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
11/25/2018 01:08:45,31268,11864,31307,12062,35212,13288,366.330531,530.55433329999994,282.45746629999996,961.94990369999994,353.96492129999996,32,222,114,415,8432,0,47.376419999999996,0,0,0,35790,13941,2627.5834867,5378,4228,2765.0455342,31264,11863,596.6138392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
12/02/2018 01:08:28,31268,11864,31307,12062,35212,13288,357.99420849999996,530.38509019999992,282.729147,953.5289548,352.9214469,32,222,114,415,8432,0,46.6926734,0,0,0,35790,13941,2580.9085784,5378,4228,2770.8679171999997,31264,11863,589.363444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
12/09/2018 01:08:59,31268,11435,31307,11844,35212,13041,364.88635619999997,531.0215314,283.18428259999996,962.52995839999994,353.78590399999996,32,222,114,415,8432,0,48.010883,0,0,0,35790,13022,2636.3111089,5378,4207,2766.1165425,31264,11430,592.63814989999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
12/23/2018 01:09:53,31268,11435,31307,11844,35212,13041,363.872837,533.831315,282.5095343,974.8123293,355.2793706,32,222,114,415,8432,0,46.7688224,0,0,0,35790,13022,2436.4763303,5378,4207,2715.3806090999997,31264,11430,584.22836439999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3636
